-43.0050102578677	-30.320201276040066	-13.631899334485913
-42.61851754079584	-29.98339043566817	-13.396980919473979
-42.18489249278474	-29.56147882300338	-13.09969236976557
-41.57949919022959	-29.024547751125205	-12.716521224586605
-40.78171321294163	-28.33344876373381	-12.229367223592075
-41.420552991565145	-29.113258819722617	-13.241589063796491
-40.492373034901725	-28.41023985022009	-12.830597032716902
-39.87505633945325	-27.950201443241014	-12.562425484889022
-39.1225576876321	-27.38322709119334	-12.229290306295924
-38.1718746281291	-26.673121609244276	-11.83196087995472
-37.899799794776044	-26.72289573088141	-12.277830797333003
-37.02898475596569	-26.120923097729154	-12.058907666070473
-36.97359560297393	-26.226718931025093	-12.357782714395517
-35.97585629463214	-25.386493657912723	-11.756899954780456
-35.275168242164035	-25.080397785968966	-12.01694655743345
-34.158485026704135	-24.341219140521222	-11.812511857546884
-32.98060933582243	-23.30902640600789	-10.983844409232855
-32.77763538491162	-23.437918333003818	-11.570038725731143
-32.572413132353596	-23.460375581624714	-11.902301022274518
-32.387129389160684	-23.441178259578795	-12.107447813972765
-31.03308682561928	-22.31185627439949	-11.27965794970272
-31.146626406298395	-22.57086261835549	-11.732553672574117
-29.731966767411816	-21.8294725621884	-11.878955754413832
